id,название,цена,бренд,скидка,рейтинг,в наличии,id продавца,изображения,отзывы с текстом,рейтинг
195988226,Zip-худи,4203.0,4:20 Shop,19,5,126,1213098,https://basket-13.wb.ru/vol1959/part195988/195988226/images/big/1.jpg;https://basket-13.wb.ru/vol1959/part195988/195988226/images/big/2.jpg;https://basket-13.wb.ru/vol1959/part195988/195988226/images/big/3.jpg;https://basket-13.wb.ru/vol1959/part195988/195988226/images/big/4.jpg;https://basket-13.wb.ru/vol1959/part195988/195988226/images/big/5.jpg;https://basket-13.wb.ru/vol1959/part195988/195988226/images/big/6.jpg;,327,4.5
165117829,Лонгслив,2664.0,4:20 Shop,19,3,25,1213098,https://basket-11.wb.ru/vol1651/part165117/165117829/images/big/1.jpg;https://basket-11.wb.ru/vol1651/part165117/165117829/images/big/2.jpg;https://basket-11.wb.ru/vol1651/part165117/165117829/images/big/3.jpg;https://basket-11.wb.ru/vol1651/part165117/165117829/images/big/4.jpg;https://basket-11.wb.ru/vol1651/part165117/165117829/images/big/5.jpg;https://basket-11.wb.ru/vol1651/part165117/165117829/images/big/6.jpg;https://basket-11.wb.ru/vol1651/part165117/165117829/images/big/7.jpg;,32,3.4
155555981,Футболка,1773.0,4:20 Shop,19,4,28,1213098,https://basket-10.wb.ru/vol1555/part155555/155555981/images/big/1.jpg;https://basket-10.wb.ru/vol1555/part155555/155555981/images/big/2.jpg;https://basket-10.wb.ru/vol1555/part155555/155555981/images/big/3.jpg;https://basket-10.wb.ru/vol1555/part155555/155555981/images/big/4.jpg;https://basket-10.wb.ru/vol1555/part155555/155555981/images/big/5.jpg;https://basket-10.wb.ru/vol1555/part155555/155555981/images/big/6.jpg;https://basket-10.wb.ru/vol1555/part155555/155555981/images/big/7.jpg;https://basket-10.wb.ru/vol1555/part155555/155555981/images/big/8.jpg;,61,4.4
195755126,Свитшот,3474.0,4:20 Shop,19,5,96,1213098,https://basket-13.wb.ru/vol1957/part195755/195755126/images/big/1.jpg;https://basket-13.wb.ru/vol1957/part195755/195755126/images/big/2.jpg;https://basket-13.wb.ru/vol1957/part195755/195755126/images/big/3.jpg;https://basket-13.wb.ru/vol1957/part195755/195755126/images/big/4.jpg;https://basket-13.wb.ru/vol1957/part195755/195755126/images/big/5.jpg;,0,
201244899,Футболка Fred Perry,2016.0,4:20 Shop,19,4,112,1213098,https://basket-13.wb.ru/vol2012/part201244/201244899/images/big/1.jpg;https://basket-13.wb.ru/vol2012/part201244/201244899/images/big/2.jpg;https://basket-13.wb.ru/vol2012/part201244/201244899/images/big/3.jpg;https://basket-13.wb.ru/vol2012/part201244/201244899/images/big/4.jpg;https://basket-13.wb.ru/vol2012/part201244/201244899/images/big/5.jpg;,24,3.5
168444132,Шорты,2826.0,4:20 Shop,19,4,48,1213098,https://basket-12.wb.ru/vol1684/part168444/168444132/images/big/1.jpg;https://basket-12.wb.ru/vol1684/part168444/168444132/images/big/2.jpg;https://basket-12.wb.ru/vol1684/part168444/168444132/images/big/3.jpg;https://basket-12.wb.ru/vol1684/part168444/168444132/images/big/4.jpg;https://basket-12.wb.ru/vol1684/part168444/168444132/images/big/5.jpg;,0,
198241662,Футболка Lyle & Scott,2016.0,4:20 Shop,19,4,18,1213098,https://basket-13.wb.ru/vol1982/part198241/198241662/images/big/1.jpg;https://basket-13.wb.ru/vol1982/part198241/198241662/images/big/2.jpg;https://basket-13.wb.ru/vol1982/part198241/198241662/images/big/3.jpg;https://basket-13.wb.ru/vol1982/part198241/198241662/images/big/4.jpg;https://basket-13.wb.ru/vol1982/part198241/198241662/images/big/5.jpg;https://basket-13.wb.ru/vol1982/part198241/198241662/images/big/6.jpg;,0,
157432415,Рубашка Stone Island,2988.0,4:20 Shop,19,4,79,1213098,https://basket-10.wb.ru/vol1574/part157432/157432415/images/big/1.jpg;https://basket-10.wb.ru/vol1574/part157432/157432415/images/big/2.jpg;https://basket-10.wb.ru/vol1574/part157432/157432415/images/big/3.jpg;https://basket-10.wb.ru/vol1574/part157432/157432415/images/big/4.jpg;https://basket-10.wb.ru/vol1574/part157432/157432415/images/big/5.jpg;,35,4.3
198466837,Спортивные штаны,2907.0,4:20 Shop,19,3,120,1213098,https://basket-13.wb.ru/vol1984/part198466/198466837/images/big/1.jpg;https://basket-13.wb.ru/vol1984/part198466/198466837/images/big/2.jpg;https://basket-13.wb.ru/vol1984/part198466/198466837/images/big/3.jpg;https://basket-13.wb.ru/vol1984/part198466/198466837/images/big/4.jpg;https://basket-13.wb.ru/vol1984/part198466/198466837/images/big/5.jpg;https://basket-13.wb.ru/vol1984/part198466/198466837/images/big/6.jpg;,0,
196053362,Zip - худи,4122.0,4:20 Shop,19,5,120,1213098,https://basket-13.wb.ru/vol1960/part196053/196053362/images/big/1.jpg;https://basket-13.wb.ru/vol1960/part196053/196053362/images/big/2.jpg;https://basket-13.wb.ru/vol1960/part196053/196053362/images/big/3.jpg;https://basket-13.wb.ru/vol1960/part196053/196053362/images/big/4.jpg;https://basket-13.wb.ru/vol1960/part196053/196053362/images/big/5.jpg;,3,4.9
